11.87	17.19	4.64	52.54	9.33	11.68	13.41	4.05
16.01	21.17	4.37	66.8	9.26	15.16	14.26	3.73
13.88	21.23	4.13	67.08	8.85	12.04	14.73	4.32
15.34	21.17	4.6	60.08	7.34	12.58	16.74	4.29
14.62	17.48	4.68	64.99	6.57	11.97	16.4	4.14
14.57	25.71	4.51	62.17	7.97	14.67	20.07	4.86
12.75	19.96	4.43	60.27	7.84	13.73	15.77	4.78
16.22	20.19	4.78	66.53	8.64	14.29	18.13	4.28
16.2	21.02	4.67	59.44	8.57	13.74	14.59	5
13.42	18.37	4.39	60.29	8.07	12.31	17.39	4.14
15.45	20.39	4.48	50.27	7.34	14.21	14.65	4.44
13.57	20.7	4.38	57.9	10	9.67	18.84	4.38
15.92	21.12	4.95	56.83	9.78	13.56	22.01	4.07
14.02	21.42	4.35	61.42	7.46	12.69	14.65	4.04
17.1	21.12	3.91	54.38	10.28	12.41	17.49	3.82
19.5	21.93	4.77	56.06	10.36	10.85	18.89	4.51
14.17	24.22	5.07	56.69	8.07	12.48	15.25	4.48
15.31	21.91	4.23	54	8.58	12.67	17.2	3.88
12.74	19.74	3.31	55.79	7.61	14.43	15.4	4.38
13.25	23.09	4.67	59.66	10	12.08	18.74	4.23
15.21	21.9	4.74	60.94	7.56	13.79	17.55	3.9
15.69	21.9	5.2	59.95	9.57	14.66	17.75	4.21
15.04	21.87	5.26	59.06	7.8	13.39	15.98	4.55
13.01	17.95	5.08	51.5	9.6	11.59	19.17	3.68
16.09	17.21	4.48	47.27	9.41	12.59	19.5	4.25
11.16	18.59	3.74	54.19	8.6	11.01	20.54	4.77
13.91	22.07	4.13	62.61	8.07	13.96	17.88	3.8
15.02	20.52	4.16	61.09	7.69	11.48	16.32	5.09
13.49	20.5	4.34	47.09	9.26	13.91	21.13	4.1
13.94	20.81	4.71	61.03	8.97	13.72	16.83	4.05
14.4	19.23	4.21	42.19	8.75	14.21	17.85	4.46
14.71	19.49	4.03	60.49	7.13	13.12	17.29	4.43
15.39	21.46	4.82	55	9.3	14.54	17.69	4.23
13.23	18.51	4.77	65.98	7.7	12.63	16.74	4.26
16.54	20.5	5.62	52.79	7.38	13.54	16.96	4.65
16.79	19.39	4.6	58.69	8.2	13.03	15.07	4.78
14.34	20.59	5.12	61.87	8.28	15.02	17.46	4.56
14.7	16.98	4.58	56.03	7.37	12.58	16.57	4.61
15.14	23.65	4.41	62.93	7.53	12.76	14.95	3.84
13.72	18.84	5.02	56.06	7.3	12.99	15.29	4.64
12.25	21.88	3.84	65.3	8.28	12.95	16.64	4.16
13.52	23.96	4.65	62.19	8.55	12.5	17.58	4.27
15.18	20.66	4.35	54.34	7.62	14.12	16.11	4.79
12.19	19.07	4.89	61.06	8.6	11.74	16.62	4.75
15.31	19.7	3.76	66.93	7.19	12.72	16.47	4.3
15.37	20.9	3.87	56.14	8.53	10.75	16.31	5.13
12.55	21.32	5.24	54.98	8.35	15.76	17.26	4.59
12.02	18.25	4.12	60.41	8.57	14.62	17.58	4.6
11.91	20.71	5	60.52	7.78	11.8	16.39	4.57
13.69	17.97	4.61	53.3	8.75	14.65	18.43	4.66
15.43	24	4.24	52.91	7.95	11.04	17.1	4.83
15.52	18.49	4.96	56.46	8.2	12.67	17.87	4.41
17.24	21.48	5.14	60.71	7.79	12.73	18.12	3.98
12.39	24.19	3.94	55.62	7.15	10.93	16.16	4.5
11.23	20.86	3.62	67.15	9.93	15.06	14.01	4.61
13.73	20.41	4.58	65.99	7.52	14.22	16.84	4.58
16.63	21.56	3.75	57.23	7.95	12.58	18.34	4.14
15.82	19.43	4.88	63.31	9.07	13.47	16.04	4.81
16.11	19.19	4.2	49.53	7.59	13.92	18.5	4.88
13.47	20.23	4.29	54.6	8.32	14.17	16.15	4.02
13.05	23.47	3.81	52.02	9.47	11.25	16.16	4.41
12.95	20.33	4.15	48.89	8.35	14.17	18.07	4.95
15.27	20.67	5.09	63.09	8.52	10.88	17.15	3.49
11.65	17.96	5.25	67.92	7.74	12.82	18.08	5.03
14.27	20.4	4.94	52.76	9.28	12.5	17.81	4.16
12.96	21.7	4.66	63.94	8.82	12.18	13.83	4.31
15.35	17.82	5.1	53.58	8.74	14	16.17	3.77
15.95	17.38	4.69	62.29	6.24	12.71	15.03	4
16.08	18.87	4.97	51.44	7.33	13.51	15.05	4.87
14.78	18.48	5.23	52.37	8.32	12.51	17.64	3.96
12.42	18.95	4.36	51.29	8.8	12.15	14.7	4.69
