9.75	9.85	9.82	10.08	8.71	11.02	9.99	9.8
53.51	52.21	51.43	51.74	56.98	59.62	61.19	57.87
31.19	32.77	27.69	30.14	35.93	40.23	31.18	37.41
3.86	5.03	3.6	4.46	4.78	4.78	5	4.72
19.03	19.13	20.72	21.4	21.32	24.13	16.15	17.74
33.62	32.43	32.85	33.71	34.81	30.67	37.59	43
5.29	4.65	4.29	5.54	4.37	5.06	3.99	4.9
15.58	17.82	17.21	17.66	18.94	16.69	15.75	16.93
73.43	59.38	65.37	67.21	55.31	63.44	62.45	61.39
20.28	19.89	17.76	18.2	19.51	16.26	20.68	19.84
85.86	105.3	81.52	76.57	82.36	83.24	93.17	78.13
17.55	17.13	18.85	17.17	19.68	17.66	19.55	17.47
9.21	8.97	10.88	8.72	10.38	8.46	8.74	8.45
41.04	31.16	31.45	30.51	31.03	34.32	30.71	33.63
20.45	21.65	21.58	22.12	22.29	19.54	21.09	20.94
19.97	21.19	17.67	18.41	21.34	20.22	25.94	22.14
11.38	10.6	9.72	10.16	12.1	10.48	10.84	11.34
36.76	44.27	36.48	29.49	40.37	33.37	36.38	35.64
2.21	2.63	2.44	2.66	2.92	2.99	2.6	2.82
18.26	25.41	19.62	24.76	25.45	21.85	19.33	22.14
4.64	6	5.18	4.81	5.85	5.27	6.69	4.96
27.98	25.04	27.97	28.34	31.64	28.82	27.46	23.73
8.15	9.21	8.66	8.71	8.05	7.53	7.89	8.43
53.75	45.88	49.98	47.98	49.41	52.22	49.64	51.43
15.69	12.92	16.39	12.91	16.56	15.87	12.73	16.14
82.22	85.95	80.77	72.24	70.63	78.34	72.4	72.52
39.89	37.18	36.41	35.69	34.69	40.26	37.47	32.82
5.31	5.27	5.6	5.96	5.19	5.73	5.21	5.12
15.27	13.49	15.29	15.34	16.76	17.55	14.29	14.27
1.41	1.42	1.42	1.44	1.44	1.4	1.28	1.35
13.93	12.95	11.61	11.86	14.84	13.21	12.21	16.54
5.62	7.66	6.81	5.98	7.02	6.65	6.31	5.71
59.27	59.23	69.33	74.12	69.63	64.45	72.09	78.81
12.2	11.15	10.58	11.29	14.8	11.88	9.38	10.67
20.66	19.47	16.03	16.23	16.24	18.77	17.93	19.59
17.97	18.15	20.25	17.48	16.59	19.03	21.43	21.21
31.47	27.45	38.37	31.39	26.03	34.1	29.86	28.1
29.47	28.15	27.52	24.56	23.5	29.38	27.29	21.82
41.07	37.57	40.68	33.75	37.05	38.27	37.94	39.96
14.89	12.7	14.37	11.84	13.28	13.91	12.56	14.51
5.83	6.89	5.74	7.24	6.35	5.81	5.87	6.61
24.85	31.06	30.53	26.55	30.16	29.57	22.87	28.08
6.88	5.65	6.07	6.49	7.05	6.92	6.36	5.44
8.46	9.03	9.74	9.96	6.81	8.82	9.46	8.27
38.68	37.82	43.33	39.21	39.63	35.82	43.64	30.39
50.27	42.38	42.45	44.78	38.93	37.64	42.32	43.65
12.08	12.31	13.37	12.1	13.22	12.01	12.34	14.15
7.04	5.99	5.28	6.58	6.78	7.67	7.22	5.59
1.37	1.78	1.68	1.49	1.59	1.71	1.83	1.84
10.88	10.66	11.9	10.79	11.73	11.02	11.68	10.9
65.83	62.41	71.94	55.72	61.45	61.15	54.05	58.75
18.08	18.45	21.83	24.01	18.3	21.24	22.83	17.71
31.15	31.72	27.17	30.83	30.35	26.48	29.9	24.73
19.21	20.97	20.47	22.16	17.37	16.98	22.92	20.86
102.83	100.7	107.42	100.42	93.84	100.7	99.82	97.1
18.24	18.54	18.82	22.4	20.03	19.07	21.22	20.73
71.11	69.57	72.73	76.43	68.31	75.26	80.87	81.39
11.2	9.65	12.13	10.17	10.73	10.1	9.54	10.84
38.16	30.06	26.46	27.27	25.6	35.94	31.64	31.51
22.78	21.72	24.97	25.38	22.76	25.26	27.01	21.09
22.68	34.48	26.8	24.86	27.12	31.82	30.68	28.54
7.04	9.54	7.97	8.69	8.23	8.64	8.46	8.67
15.73	15.46	14.16	16.29	15.09	16.93	13.72	14.82
31.94	26.81	33.26	27.61	28.17	28.02	30.25	25.51
9.63	8.66	8.65	9.95	9.88	8.93	10.7	9.56
13.18	9.44	13.5	10.93	13.63	13.98	10.78	11.79
17.34	13.75	14.64	15.9	11.66	15.82	13.47	14.11
15.33	16.13	15.86	16.46	17.17	16.6	13.95	14.7
55.91	60.66	57.12	55.66	50.08	55.12	52.67	50.42
6.18	5.35	4.51	4.74	4.98	5.39	5.13	4.74
66.7	74.48	77.19	78.91	75.98	81.45	63	73.12
14.14	15.92	14.93	15.53	15.17	13.83	12.5	16.69
40.16	42.22	38.18	41.41	42.19	43.28	44.85	45.15
12.14	12.33	9.1	10.31	10.77	10.53	8.96	8.97
